Name                    	Input Name              	Control Name            	Output Name             	Mechanism Name          	Расход          	
                        	                        	                        	                        	                        	электроэнергии  	
________________________	________________________	________________________	________________________	________________________	________________	

Сборка и тестирование   	Компоненты              	Правила сборки и        	Результаты сборки и     	Персонал                	                	
компьютеров             	                        	тестирования            	тестирования            	производственного отдела	                	

                        	Заказы клиентов         	                        	Неисправные компоненты  	                        	                	

                        	                        	                        	Собранные компьютеры    	                        	                	

Отслеживание расписания 	Результаты тестирования 	Заказы клиентов         	Указание передать       	Диспетчер               	          10,00 	
и управление сборкой  и 	                        	                        	компьютеры на отгрузку  	                        	                	
тестированием           	                        	                        	                        	                        	                	

                        	                        	                        	Заказы на ноутбуки      	                        	                	

                        	                        	                        	Заказы на настольные    	                        	                	
                        	                        	                        	компьютеры              	                        	                	

Сборка настольных       	Компоненты              	Заказы на настольные    	Результаты сборки и     	Диспетчер               	          20,00 	
компьютеров             	                        	компьютеры              	тестирования            	                        	                	

                        	                        	Правила сборки и        	Неисправные компоненты  	                        	                	
                        	                        	тестирования            	                        	                        	                	

                        	                        	                        	Настольные компьютеры   	                        	                	

Сборка ноутбуков        	Компоненты              	Заказы на ноутбуки      	Неисправные компоненты  	Диспетчер               	          25,00 	

                        	                        	Правила сборки и        	Результаты сборки и     	                        	                	
                        	                        	тестирования            	тестирования            	                        	                	

                        	                        	                        	Ноутбуки                	                        	                	

Тестипрование           	Ноутбуки                	Правила сборки и        	Результаты сборки и     	Тестировщик             	          40,00 	
компьютеров             	                        	тестирования            	тестирования            	                        	                	

                        	Компоненты              	Настольные компьютеры   	Неисправные компоненты  	                        	                	

                        	                        	Указание передать       	Собранные компьютеры    	                        	                	
                        	                        	компьютеры на отгрузку  	                        	                        	                	

                        	                        	                        	Результаты тестирования 	                        	                	

